hscode_4,text,url
0101,馬、驢、騾及駃騠,tariffHScode.asp?code=0101
0102,牛,tariffHScode.asp?code=0102
0103,豬,tariffHScode.asp?code=0103
0104,綿羊及山羊,tariffHScode.asp?code=0104
0105,家禽，係指雞、鴨、鵝、火雞及珍珠雞,tariffHScode.asp?code=0105
0106,其他活動物,tariffHScode.asp?code=0106
0201,牛肉，生鮮或冷藏,tariffHScode.asp?code=0201
0202,冷凍牛肉,tariffHScode.asp?code=0202
0203,豬肉，生鮮、冷藏或冷凍,tariffHScode.asp?code=0203
0204,綿羊或山羊肉，生鮮、冷藏或冷凍,tariffHScode.asp?code=0204
0205,肉類（馬、騾、驢及駃騠），生鮮、冷藏或冷凍,tariffHScode.asp?code=0205
0206,食用雜碎（牛、豬、綿羊、山羊、馬、騾、驢或駃騠），生鮮、冷藏或冷凍,tariffHScode.asp?code=0206
0207,屬第０１０５節之家禽肉及食用雜碎，生鮮、冷藏或冷凍,tariffHScode.asp?code=0207
0208,其他肉類及食用雜碎，生鮮、冷藏或冷凍,tariffHScode.asp?code=0208
0209,不帶瘦肉之豬脂及禽脂，未熬或未以其他方法萃取，生鮮、冷藏、冷凍、鹹、浸鹹、乾或燻製者,tariffHScode.asp?code=0209
0210,鹹、浸鹹、乾或燻製之肉類及食用雜碎；肉類或雜碎肉製成之食用肉粉或粗肉粉,tariffHScode.asp?code=0210
0301,活魚,tariffHScode.asp?code=0301
0302,生鮮或冷藏魚（第０３０４節之切片、及其他魚肉除外）,tariffHScode.asp?code=0302
0303,冷凍魚（第０３０４節之切片及其他魚肉除外）,tariffHScode.asp?code=0303
0304,生鮮、冷藏或冷凍之切片及其他魚肉（不論是否經剁細）,tariffHScode.asp?code=0304
0305,乾魚、鹹魚、浸鹹魚；燻魚，不論在燻製前或燻製過程中是否烹煮；適合供人類食用之魚粉、細粒及團粒,tariffHScode.asp?code=0305
0306,帶殼或去殼之甲殼類動物，活、生鮮、冷藏、冷凍、乾、鹹或浸鹹；蒸煮過或用水煮過之帶殼甲殼類動物，不論是否為冷藏、冷凍、乾、鹹或浸鹹；適合供人類食用之甲殼類動物粉、細粒及團粒,tariffHScode.asp?code=0306
0307,活、生鮮、冷藏、冷凍、乾、鹹或浸鹹軟體類動物，不論是否帶殼；水產無脊椎動物（甲殼及軟體類動物除外），活、生鮮、冷藏、冷凍、乾，鹹或浸鹹；適於人類食用之水產無脊椎動物（甲殼類動物除外）粉、細粒及團粒,tariffHScode.asp?code=0307
0401,乳及乳油，未濃縮且未加糖及未含其他甜味料者,tariffHScode.asp?code=0401
0402,乳及乳油（濃縮或加糖或含其他甜味料者）,tariffHScode.asp?code=0402
0403,酪乳、凝固乳及乳油、酸酪乳、酸乳酒及其他經發酵或酸化之及乳油，不論是否濃縮或加糖或含其他甜味料或香料，或添加水果，堅果或可可者,tariffHScode.asp?code=0403
0404,乳清，不論是否濃縮或加糖或含其他甜味料者；其他未列名天然乳品不論是否加糖或含其他甜味料者,tariffHScode.asp?code=0404
0405,乳品衍生之乳酪及其他油脂；乳製品塗醬,tariffHScode.asp?code=0405
0406,乾酪及凝乳,tariffHScode.asp?code=0406
0407,帶殼禽蛋，鮮、保藏或煮熟,tariffHScode.asp?code=0407
0408,去殼禽蛋及蛋黃（鮮、乾燥、已蒸煮或水煮、塑製、冷凍或其他方法保藏，不論是否加糖或其他甜味料者）,tariffHScode.asp?code=0408
0409,天然蜜,tariffHScode.asp?code=0409
0410,未列名食用動物產品,tariffHScode.asp?code=0410
0501,未加工之已淨或未淨人髮；人髮廢料,tariffHScode.asp?code=0501
0502,豬鬃、豬毛；獾毛及其他製刷用毛；廢鬃、廢毛,tariffHScode.asp?code=0502
0504,動物腸、膀胱及胃（魚類者除外），整個或切開者均在內，生鮮、冷藏、冷凍、鹹、浸鹹、乾或燻製者,tariffHScode.asp?code=0504
0505,帶羽毛或羽絨之鳥皮及鳥之其他部分、羽毛暨其片段（不論已否修剪）及羽絨，僅經潔淨、消毒或保藏處理而未進一步加工者；及其粉末或廢料,tariffHScode.asp?code=0505
0506,未經加工之骨及角髓，但已去脂經簡單處理（未切成形）、經酸處理或除膠者；及其粉末與廢料,tariffHScode.asp?code=0506
0507,象牙，龜殼，鯨鬚及鯨鬚髮，獸角，鹿角，蹄，甲，爪，喙之未經加工者，或經簡單處理，但未切成形者；及其粉末與廢料,tariffHScode.asp?code=0507
0508,珊瑚或類似物質，未經加工，或經簡單處理但未另行加工者；軟體水產動物，甲殼類或棘皮動物之介殼和墨魚骨，未經加工或經簡單處理但未切成形者，粉及其廢料,tariffHScode.asp?code=0508
0510,龍涎香、海狸香、麝狸香及麝香；斑蝥；膽汁（乾鮮在內）；分泌腺及其他動物產品之鮮、冷藏、冷凍或暫時保存供製藥之用者,tariffHScode.asp?code=0510
0511,未列名動物產品；第一章或第三章所列不適於人類食用之死動物,tariffHScode.asp?code=0511
0601,鱗莖、塊莖、塊根、球莖、冠芽及匍匐莖，在休眠中、生長中、或開花中；菊苣及根，不包括第１２１２節之根,tariffHScode.asp?code=0601
0602,其他活植物（包括根），插穗及裔芽；菇類菌種,tariffHScode.asp?code=0602
0603,花束用或裝飾用之切花及花蕾，鮮、乾、染色、漂白、塗裝或其他方式處理者,tariffHScode.asp?code=0603
0604,花束用或裝飾用之各種植物之枝葉及其他部分（花朵及花蕾除外）、苔藻蘚、地衣及草，不論鮮、乾、染色、漂白，塗裝或用其他方式處理者,tariffHScode.asp?code=0604
0701,馬鈴薯，生鮮或冷藏,tariffHScode.asp?code=0701
0702,番茄，生鮮或冷藏,tariffHScode.asp?code=0702
0703,洋蔥、分蔥、大蒜、?蔥及其他蔥屬蔬菜，生鮮或冷藏,tariffHScode.asp?code=0703
0704,白菜類、花椰菜、球莖甘藍、無頭甘藍及類似可供食用蕓苔屬蔬菜，生鮮或冷藏,tariffHScode.asp?code=0704
0705,萵苣及菊苣，生鮮或冷藏,tariffHScode.asp?code=0705
0706,胡蘿蔔、蕪菁、火焰菜、婆羅門參、根芹菜、蘿蔔及類似可供食用根菜，生鮮或冷藏,tariffHScode.asp?code=0706
0707,胡瓜及小胡瓜，生鮮或冷藏,tariffHScode.asp?code=0707
0708,豆類蔬菜，去殼或帶殼，生鮮或冷藏,tariffHScode.asp?code=0708
0709,其他蔬菜，生鮮或冷藏,tariffHScode.asp?code=0709
0710,冷凍蔬菜（未煮或蒸煮或水煮）,tariffHScode.asp?code=0710
0711,暫時保藏之蔬菜（例如，使用二氧化硫氣體、存於鹽水、硫磺水或其他保藏用溶液中）惟不適於即時食用者,tariffHScode.asp?code=0711
0712,乾蔬菜，整粒（株）、切塊、切片、切碎或粉狀，但未經進一步處理,tariffHScode.asp?code=0712
0713,去莢之乾豆類蔬菜，不論已否去皮或剖開,tariffHScode.asp?code=0713
0714,樹薯、葛根、草蘭球根、菊芋、甘藷及其他富含澱粉或菊糖成分之類似根莖、塊莖，生鮮、冷藏、冷凍或乾燥，不論是否切片或為團粒狀者均在內；西榖莖髓,tariffHScode.asp?code=0714
0801,椰子、巴西栗及腰果，鮮或乾，不論是否去殼或去皮,tariffHScode.asp?code=0801
0802,其他鮮、乾堅果，不論是否去殼或去皮,tariffHScode.asp?code=0802
0803,鮮或乾香蕉，包括芭蕉,tariffHScode.asp?code=0803
0804,鮮或乾棗、無花果、鳳梨、酪梨、番石榴、芒果及山竹果,tariffHScode.asp?code=0804
0805,鮮或乾之柑橘類果實,tariffHScode.asp?code=0805
0806,鮮或乾葡萄,tariffHScode.asp?code=0806
0807,鮮瓜（包括西瓜）及木瓜,tariffHScode.asp?code=0807
0808,鮮蘋果，梨及?桲,tariffHScode.asp?code=0808
0809,鮮杏、櫻桃、桃子（包括油桃）、李子及黑刺李,tariffHScode.asp?code=0809
0810,其他鮮果實,tariffHScode.asp?code=0810
0811,冷凍之果實及堅果，未以水蒸煮或已蒸煮，不論是否添加糖或其他甜味料者,tariffHScode.asp?code=0811
0812,暫時保藏之果實及堅果（例如以二氧化硫氣體、鹽水、硫磺水或其他保存用溶液漬存者），惟不適於即時食用者,tariffHScode.asp?code=0812
0813,第０８０１至０８０６節以外之乾果；本章內堅果或乾果實之混合物,tariffHScode.asp?code=0813
0814,柑橘或瓜（包括西瓜）之外皮，鮮、冷凍、乾或暫時漬存於鹽水、硫磺水或其他浸漬溶液者均在內,tariffHScode.asp?code=0814
0901,咖啡，不論是否焙製或去咖啡鹼者；咖啡荳殼與荳皮；含任何咖啡成分之咖啡代替品,tariffHScode.asp?code=0901
0902,茶葉，不論是否添加香料,tariffHScode.asp?code=0902
0903,馬黛茶類,tariffHScode.asp?code=0903
0904,胡椒屬之胡椒；乾、壓碎或研磨之番椒或丁子屬果實,tariffHScode.asp?code=0904
0905,香草,tariffHScode.asp?code=0905
0906,肉桂及肉桂花,tariffHScode.asp?code=0906
0907,丁香（全果、花苞及果柄）,tariffHScode.asp?code=0907
0908,肉荳蔻、荳蔻乾皮、荳蔻,tariffHScode.asp?code=0908
0909,大茴香子、胡荽子、小茴香子、芫荽子、葛縷子；杜松子,tariffHScode.asp?code=0909
0910,薑、番紅花、薑黃（鬱金）、麝香草、月桂葉、咖哩及其他香辛料,tariffHScode.asp?code=0910
1001,小麥或雜麥（墨斯林）,tariffHScode.asp?code=1001
1002,黑麥（裸麥）,tariffHScode.asp?code=1002
1003,大麥,tariffHScode.asp?code=1003
1004,燕麥,tariffHScode.asp?code=1004
1005,玉蜀黍,tariffHScode.asp?code=1005
1006,稻米,tariffHScode.asp?code=1006
1007,高梁（蜀黍）,tariffHScode.asp?code=1007
1008,蕎麥、小米及雀粟；其他榖類,tariffHScode.asp?code=1008
1101,小麥粉或雜麥粉,tariffHScode.asp?code=1101
1102,其他榖粉（小麥粉及雜麥粉除外）,tariffHScode.asp?code=1102
1103,榖類之細粒及團粒,tariffHScode.asp?code=1103
1104,其他方式加工之雜糧穀粒（如去殼、滾壓、製成片、製成珍珠狀、切片或粗磨者），但第１００６節之稻米除外；整粒、滾壓、製成片或磨粉之穀類胚芽,tariffHScode.asp?code=1104
1105,馬鈴薯粉、細粒、細粉、細片、顆粒及團粒,tariffHScode.asp?code=1105
1106,第０７１３節之各種乾豆類蔬菜、西穀米或第０７１４節之根莖、塊莖或第八章產品製成之粉、細粒及細粉,tariffHScode.asp?code=1106
1107,麥芽，已否烘製者均在內,tariffHScode.asp?code=1107
1108,澱粉；菊糖,tariffHScode.asp?code=1108
1109,麵筋，不論是否乾燥,tariffHScode.asp?code=1109
1201,大豆，不論是否破碎,tariffHScode.asp?code=1201
1202,花生，未烘焙或烹煮，不論是否去殼或破碎,tariffHScode.asp?code=1202
1203,乾椰子肉,tariffHScode.asp?code=1203
1204,亞麻子（仁），不論是否破碎,tariffHScode.asp?code=1204
1205,油菜子，不論是否破碎,tariffHScode.asp?code=1205
1206,葵花子，不論是否破碎,tariffHScode.asp?code=1206
1207,其他油料種子及含油質之果實，不論是否破碎,tariffHScode.asp?code=1207
1208,油料種子或含油質果實之粉及細粒，芥末除外,tariffHScode.asp?code=1208
1209,種植用種子、果實及孢子,tariffHScode.asp?code=1209
1210,新鮮或乾燥霍布花（蛇麻毬果），不論是否研磨或製粉或呈團粒狀者；啤酒花精,tariffHScode.asp?code=1210
1211,植物或植物之一部分（包括種子及果實），主要用於香料、藥用、殺蟲、殺菌或類似用途，新鮮或乾燥，不論是否已切割、壓碎或製粉,tariffHScode.asp?code=1211
1212,刺槐豆、海草及其他藻類、甜菜及甘蔗，生鮮、冷藏、冷凍或乾燥，不論是否研磨者；未列名果實核與子仁及其他植物產品（包括未焙製之各種菊苣根），主要供人類食用者,tariffHScode.asp?code=1212
1213,穀類之?及外殼，未經加工，不論是否已切碎、研磨、壓製或呈團粒狀者,tariffHScode.asp?code=1213
1214,瑞典蕪菁、飼料蓁菜，飼料用根菜，飼料用乾草，紫花目蓿，三葉草，紅豆草，飼料用甘藍、羽扁豆、野豌豆及類似芻秣飼料，不論是否為團粒狀,tariffHScode.asp?code=1214
1201,大豆，不論是否破碎,tariffHScode.asp?code=1201
1202,花生，未烘焙或烹煮，不論是否去殼或破碎,tariffHScode.asp?code=1202
1203,乾椰子肉,tariffHScode.asp?code=1203
1204,亞麻子（仁），不論是否破碎,tariffHScode.asp?code=1204
1205,油菜子，不論是否破碎,tariffHScode.asp?code=1205
1206,葵花子，不論是否破碎,tariffHScode.asp?code=1206
1207,其他油料種子及含油質之果實，不論是否破碎,tariffHScode.asp?code=1207
1208,油料種子或含油質果實之粉及細粒，芥末除外,tariffHScode.asp?code=1208
1209,種植用種子、果實及孢子,tariffHScode.asp?code=1209
1210,新鮮或乾燥霍布花（蛇麻毬果），不論是否研磨或製粉或呈團粒狀者；啤酒花精,tariffHScode.asp?code=1210
1211,植物或植物之一部分（包括種子及果實），主要用於香料、藥用、殺蟲、殺菌或類似用途，新鮮或乾燥，不論是否已切割、壓碎或製粉,tariffHScode.asp?code=1211
1212,刺槐豆、海草及其他藻類、甜菜及甘蔗，生鮮、冷藏、冷凍或乾燥，不論是否研磨者；未列名果實核與子仁及其他植物產品（包括未焙製之各種菊苣根），主要供人類食用者,tariffHScode.asp?code=1212
1213,穀類之?及外殼，未經加工，不論是否已切碎、研磨、壓製或呈團粒狀者,tariffHScode.asp?code=1213
